Index of International Urantia Association's “Journal” articles	Index des articles du « Journal » de l'Association Internationale Urantia
1995	1995
Journal — September 1995	Journal — Septembre 1995
Journal — September 1995 — Content	Journal de l'IUA — Septembre 1995
Revelation Entering the Age of Discretion — IUA 1995 Study Conference	Conférence d'étude de l'UIA 1995
Meditation	Méditation
Reflections on the Concept of the Supreme	Réflexions sur le concept du Suprême
The Matter of Leptoquarks	La matière des leptoquarks, ou la gestion de la matière par le Suprême
Ultimatons	Ultimatons
The Dynamics of Teamwork	La dynamique du travail d'équipe
Journal — December 1995	Journal — Décembre 1995
Journal — December 1995 — Content	Journal de l'IUA — Décembre 1995
Quarks, Gluons And Pomerons	Quarks, Gluons et Pomérons — Le cœur complexe d'un simple proton
Study And Worship	Étude et culte
Interpretation Of Personality	Interprétation de la personnalité
Mr. and Mrs. Zebedee — A Most Remarkable Couple	M. et Mme Zebedee – Un couple des plus remarquables
Are You a Happy Man?	Êtes-vous un homme heureux ?
“No Sects Please, We're British”	« Pas de sectes s'il vous plaît, nous sommes britanniques » — Une histoire concise du mouvement britannique URANTIA
By Their Fruits You Shall Know Them	C'est à leurs fruits que vous les reconnaîtrez
1996	1996
Journal — March 1996	Journal — Mars 1996
Journal — March 1996 — Content	Journal de l'IUA — Mars 1996
How Big Is Orvonton?	Quelle est la taille d’Orvonton ?
Chuck Adjusts His View of the Ultimatons	Chuck ajuste sa vision des Ultimatons
Meditation for the Morning	Méditation du matin
Prayer	Prière
The Spiritual Downs	Les bas spirituels
A Short Biography	Une courte biographie
The Value of Loyalty	La valeur de la fidélité
Journal — June 1996	Journal — Juin 1996
Journal — June 1996 — Content	Journal de l'IUA — Juin 1996
The Remarkable Ikhnaton	Le remarquable Ikhenaton
Mary's Sister Mary	Marie, la sœur de Marie
Methinkus to Agnosticus on the Reality of God	Methinkus à Agnosticus sur la réalité de Dieu
Lao Shou Hsing—God of Longevity	Lao Shou Hsing, Dieu de la longévité
The Family	La famille
Channeling	Canalisation
Observing the World While Waiting for a New John the Baptist	Observer le monde en attendant un nouveau Jean-Baptiste
Journal — September 1996	Journal — Septembre 1996
Journal — September 1996 — Content	Journal de l'IUA — Septembre 1996
United States URANTIA Association - USUA's First Birthday	Association Urantia des États-Unis Premier anniversaire de l'USUA
Finnish Conference Explores Cosmic Citizenship	Une conférence finlandaise explore la citoyenneté cosmique
Britain Cries Out for Cooperation	La Grande-Bretagne appelle à la coopération
Marriage, Parenting and Their Products	Mariage, parentalité et leurs produits
Stoicism — lts Time Has Come...Back	Stoïcisme – Son heure est venue… de retour
Freely You Have Received, Freely Give	Vous avez reçu gratuitement, donnez gratuitement
1997	1997
Journal — March 1997	Journal — Mars 1997
Journal — March 1997 — Content	Journal de l'IUA — Mars 1997
Conflict and Spiritual Brotherhood	Conflit et fraternité spirituelle
But How Can That Be True?	Mais comment cela peut-il être vrai ?
The Nature of God: Its Revelation in Jesus, The Son of Man	La nature de Dieu : sa révélation en Jésus, le Fils de l'homme
1999	1999
Journal — March 1999	Journal — Mars 1999
Journal — March 1999 — Content	Journal de l'IUA — Mars 1999
Struggle and Peace with the Fatherhood of God	Lutte et Paix avec la Paternité de Dieu
A Family Day in Los Angeles	Un Jour En Famille À Los Angeles
Education and Family	L'education et la Famille
Successful Families	Des Familles Qui Réussissent
The divine plan for achieving perfection	Le plan divin pour attaindre la perfection
Journal — May 1999	Journal — Mai 1999
Journal — May 1999 — Content	Journal de l'IUA — Mai 1999
To readers of The Urantia Book	Aux lecteurs du Livre d'Urantia
The Future of our Planet as a “Known” and “Unknown” Reality	L'Avenir de notre Planète Comme Réalité « Connue» et «Inconnue»
Religiosity and Secularism	Religiosité et Laïcité
Decisions — The Human Process	Les Décisions — Le processus humain
Teaching principles	Principes d'enseignement
Journal — September 1999	Journal — Septembre 1999
Journal — September 1999 — Content	Journal de l'IUA — Septembre 1999
A Visit to Russia	Une Visite en Russie
The Future of Our Planet As a “Known” and “Unknown” Reality — Part II & III	L'Avenir de Notre Planète Comme Réalité «Connue » et «Inconnue» — Partie II et III
Contradictions or Creative Tensions in The URANTIA Book?	Contradictions ou tensions créatrices dans Le Livre d'Urantia?
The Mind Arena of Choice	Le cadre mental du choix
China—Reasons to be Cheerful	La Chine—des raisons pour se réjouir
The Urantia Book in the Muslim World	Le Livre d'Urantia dans le Monde Islamique
Seeing Scientists As Partners	Voir les Scientifiques comme des Partenaires
Journal — December 1999	Journal — Décembre 1999
Journal — December 1999 — Content	Journal de l'IUA — Décembre 1999
What does The Urantia Book Instruct Concerning the Dissemination of its Teachings?	Que nous dit de faire Le Liure d'Urantia à propos de la dissémination de ses enseignements?
The Delhi Book Fair	Le salon du livre de New Delhi
A Report on _The Urantia Book_ Internet School	Compte-Rendu Sur L'ecole Internet Du Livre D'urantia
IUA Outreach	La propagation de l'AUI
A Report on Young Readers	Les jeunes lecteurs
2000	2000
Journal — March 2000	Journal — Mars 2000
Journal — March 2000 — Content	Journal de l'IUA — Mars 2000
An Evening with Madiba: A report from the Parliament of the World's Religions	Une soirée avec Madiba: Au Parlement des Religions du Monde
The Privilege of Having God as “Father”	Le Privilège d'avoir Dieu en tant que « Père »
A Balanced Unified Personality — the Foundation for Religious Growth	Une personnalité unifiée et équilibrée le fondement pour une croissance religieuse
The Family: Birthplace of Cosmic Citizens	La famille - lieu de naissance des citoyens cosmiques
Urantia Book Youth	Un discours-conférence: Livre d'Urantia Jeunesse
Journal — June 2000	Journal — Juin 2000
Journal — June 2000 — Content	Journal de l'IUA — Juin 2000
What Do I Think Today About Tomorrow?	Ce que je pense aujourd'hui de comment sera demain
Millenium	Millenium
Internet Site and Internet School in Spanish	École et site internet en espagnol
Disseminating the Teachings	Diffusion des enseignements
The Urantia Book and Human Sources	Le Livre d'Urantia et les sources humaines
The World Book Fair at New Delhi	La Foire Internationale du Livre à New Delhi
News from Estonia: First conference for children about The Urantia Book	École Internet du Livre d'Urantia — Un appel aux enseignants/animateurs
