Luz y Vida — No. 1 — May 2005	Luz y Vida — Núm. 1 — Mayo 2005
Luz y Vida — No. 1 — Presentation	Luz y Vida — Núm. 1 — Presentación
The seven superuniverses	Los siete superuniversos
The Trinitized Sons of God	Los Hijos de Dios trinidizados
The mansion worlds	Los mundos de estancia
The spheres of light and life	Las esferas de luz y vida
The evolution of prayer	La evolución de la oración
The Supreme Being	El Ser Supremo
After Pentecost	Después de Pentecostés
Faith of jesus	La fe de Jesús
Luz y Vida — No. 2 — September 2005	Luz y Vida — Núm. 2 — Septiembre 2005
Luz y Vida — No. 2 — Presentation	Luz y Vida — Núm. 2 — Presentación
A personal overview, part one	Un panorama personal, primera parte
The center of attention	El centro de atención
The Urantia Book_ in Africa: account of a trip to Dakar	El Libro de Urantia_ en África: relato de un viaje a Dakar
Meeting of May 14, 1999 in Dakar (Senegal), first part	Encuentro del 14 de mayo de 1999 en Dakar (Senegal), primera parte
Luz y Vida — No. 3 — December 2005	Luz y Vida — Núm. 3 — Diciembre 2005
Luz y Vida — No. 3 — Presentation	Luz y Vida — Núm. 3 — Presentación
A personal overview, part two	Un panorama personal, segunda parte
The substitutes	Los sustitutos
Meeting of May 14, 1999 in Dakar (Senegal), second part	Encuentro del 14 de mayo de 1999 en Dakar (Senegal), segunda parte
We are children of the Supreme	Somos hijos del Supremo
Luz y Vida — No. 4 — February 2006	Luz y Vida — Núm. 4 — Febrero 2006
Luz y Vida — No. 4 — Presentation	Luz y Vida — Núm. 4 — Presentación
A Personal View, Part Three	Un panorama personal, tercera parte
Friends and Residents on Urantia	Amigos y residentes en Urantia
What are the seven mansion worlds for?	¿Para qué sirven los siete mundos de las mansiones?
The data	El dato
An infinite moment (poem)	Un instante infinito (poema)
Discernment and free will	Discernimiento y libre albedrío
VI Meeting of Urantia Book Readers in Spain	VI Encuentro de Lectores del Libro de Urantia en España
Luz y Vida — No. 5 — May 2006	Luz y Vida — Núm. 5 — Mayo 2006
Luz y Vida — No. 5 — Presentation	Luz y Vida — Núm. 5 — Presentación
How to publicize The Urantia Book	Cómo dar a conocer El Libro de Urantia
Study groups	Los grupos de estudio
How to live the teachings of The Urantia Book	Cómo vivir las enseñanzas del Libro de Urantia
Chronicle of the VI Meeting	Crónica del VI Encuentro
Luz y Vida — No. 6 — September 2006	Luz y Vida — Núm. 6 — Septiembre 2006
Luz y Vida — No. 6 — Presentation	Luz y Vida — Núm. 6 — Presentación
Back with the Dissemination	A Vueltas con la Diseminación
Orvonton and the Milky Way	Orvonton y La Vía Láctea
God The Absolute	Dios El Absoluto
Beyond Mathematics	Más Allá de las Matemáticas
Luz y Vida — No. 7 — December 2006	Luz y Vida — Núm. 7 — Diciembre 2006
Luz y Vida — No. 7 — Presentation	Luz y Vida — Núm. 7 — Presentación
Orvonton and the Milky Way (second part)	Orvonton y la Vía Láctea (segunda parte)
A way to get closer to the consciousness of God	Un camino para acercarse a la conciencia de Dios
The adventure of living	La aventura de vivir
Where metaphysics fails completely	Allí donde la metafísica fracasa completamente
Praise God	Loa a Dios
Luz y Vida — No. 8 — February 2007	Luz y Vida — Núm. 8 — Febrero 2007
Luz y Vida — No. 8 — Presentation	Luz y Vida — Núm. 8 — Presentación
Orvonton and the Milky Way (part three)	Orvonton y la Vía Láctea (tercera parte)
Path of Paradise	Camino del Paraíso
What mansion world are we going to?	¿A qué mundo mansión vamos?





