Index of International Urantia Association's “Tidings” articles	https://urantia-association.org/tidings-online-archives/	is-title	Tidings
2014	---	is-volume	---
Tidings — December 2014	/image/article/IUA_Tidings/covers/2014_12.jpg	is-issue	--------------------------------------------------------
Tidings — December 2014 — Content	/en/article/IUA_Tidings/2014_12	---	IUA
President’s Message	/en/article/Chris_Wood/presidents_december_2014_message	Chris Wood	IUA
Virginia-Carolina Readers 12th Annual Conference	/en/article/James_Perry/virginia_carolina_readers_12th_annual_conference	James Perry	IUA
2015 Easter Spirit Renewal and Sacred Art Retreat	/en/article/IUA_Tidings/IUA_2015_easter_spirit_renewal_and_sacred_art_retreat	---	IUA
Urantia Book Readers in Nigeria	/en/article/Abegunde_Julius_Taiwo/urantia_book_readers_in_nigeria	Abegunde Julius Taiwo	IUA
Young Reader Study Group in Boulder	/en/article/James_Woodward/young_reader_study_group_in_boulder	James Woodward	Study Groups, IUA
Teaching and Facilitating in the UBIS	/en/article/Marta_and_Dave_Elders/teaching_and_facilitating_in_the_ubis	Marta and Dave Elders	UBIS, IUA
Mini-Study Guide	/en/article/IUA_Tidings/IUA_2015_mini_study_guide	---	Study Groups, IUA
International Conference 2015 Update	/en/article/Line_St_Pierre/progressing_from_human_to_divine	Line St. Pierre	IUA
2015	---	is-volume	---
Tidings — February 2015	/image/article/IUA_Tidings/covers/2015_02.jpg	is-issue	--------------------------------------------------------
Tidings — February 2015 — Content	/en/article/IUA_Tidings/2015_02	---	IUA
President’s Message	/en/article/Chris_Wood/presidents_february_2015_message	Chris Wood	IUA
2015 Urantia Association International Conference	/en/article/IUA_Tidings/IUA_2015_2015_urantia_association_international_conference	---	IUA
2015 International Conference Program Schedule	/en/article/IUA_Tidings/IUA_2015_conference_program_schedule	---	IUA
Spreading The Urantia Book in Ukraine	/en/article/Anton_Miroshnichenko/spreading_the_urantia_book_in_ukraine	Anton Miroshnichenko	IUA
New International Service Board Members	/en/article/IUA_Tidings/IUA_2015_new_international_service_board_members	---	IUA
Virtual Study Group, Symmetry of Soul	/en/article/James_Woodward/virtual_study_group_symmetry_of_soul	James Woodward	Study Groups, IUA
Farewell to Shirley Pelland	/en/article/Susan_Owen/farewell_to_shirley_pelland	Susan Owen	IUA
Tidings — April 2015	/image/article/IUA_Tidings/covers/2015_04.jpg	is-issue	--------------------------------------------------------
Tidings — April 2015 — Content	/en/article/IUA_Tidings/2015_04	---	IUA
President’s Message	/en/article/Chris_Wood/presidents_april_2015_message	Chris Wood	IUA
2015 International Conference – Quebec	/en/article/IUA_Tidings/IUA_2015_international_conference_quebec	---	IUA
Journal – March 2015 Issue Now Available	/en/article/Suzanne_Kelly/journal_march_2015_issue_now_available	Suzanne Kelly	IUA
Lone Star Urantia Association Conference	/en/article/Katrina_Glavan_Heise/lone_star_urantia_association_conference	Katrina Glavan-Heise	IUA
Summer Study Session 2015	/en/article/Bobbie_Drier/summer_study_session_2015	Bobbie Drier	IUA
Private: Thank You to Outgoing Board Members	/en/article/IUA_Tidings/IUA_thank_you_to_outgoing_board_members_2015	---	IUA
Tidings — June 2015	/image/article/IUA_Tidings/covers/2015_06.jpg	is-issue	--------------------------------------------------------
Tidings — June 2015 — Content	/en/article/IUA_Tidings/2015_06	---	IUA
President’s June 2015 Message	/en/article/Chris_Wood/message_from_the_president_june_2015	Chris Wood	IUA
Urantia International Conference – Quebec	/en/article/Gaetan_Charland/urantia_international_conference_quebec	Gaetan Charland	IUA
Summer Meeting 2015 in the UK	/en/article/Chris_Moseley/summer_meeting_2015_in_the_uk	Chris Moseley	IUA
Women’s Retreat	/en/article/Line_St_Pierre/womens_retreat	Line St. Pierre	IUA
The Importance of Study Groups	/en/article/Susan_Owen/the_importance_of_study_groups	Susan Owen	Study Groups, IUA
International Study Day Reflections	/en/article/IUA_Tidings/IUA_2015_international_study_day_reflections	---	IUA
International Book Fair in Bogotá, Colombia	/en/article/Andres_Ramirez/international_book_fair_in_bogota_colombia	Andrés Ramírez	IUA
Urantia Association of Spain Meets	/en/article/Carmelo_Martinez/urantia_association_of_spain_meets	Carmelo Martinez	IUA
Blue Club Meeting in Frankfurt	/en/article/Christian_Ruch/blue_club_meeting_in_frankfurt	Christian Ruch	IUA
Readers Meet in Brazil	/en/article/Cesar_Paulo_Zapello/readers_meet_inbrazil	Cesar Paulo Zapello	IUA
Feedback from a Urantia Book Recipient	/en/article/John_Zavala_Jr/feedback_from_a_urantia_book_recipient	John Zavala, Jr.	Dissemination, IUA
International Service Board at Work	/en/article/IUA_Tidings/IUA_2015_international_service_board_at_work	---	IUA
Tidings — August 2015	/image/article/IUA_Tidings/covers/2015_08.jpg	is-issue	--------------------------------------------------------
Tidings — August 2015 — Content	/en/article/IUA_Tidings/2015_08	---	IUA
President’s Message August 2015	/en/article/Chris_Wood/presidents_message_august_2015	Chris Wood	IUA
2015 International Conference – Quebec, Canada	/en/article/Alain_Cyr/2015_international_conference_quebec_canada	Alain Cyr	IUA
